mode,spatial,singular,m_c,m_h,T_c,T_h,vel_ratio
0,0.03479390162165067,115.81914777906809,538.8279,3.72136,34.95,88.13,144.79327450179505
1,0.10385722936623445,98.23495576189791,538.8279,3.72136,34.95,88.13,144.79327450179505
2,0.01819332950237699,94.15813785883505,538.8279,3.72136,34.95,88.13,144.79327450179505
3,0.0713516849551506,85.88682557260027,538.8279,3.72136,34.95,88.13,144.79327450179505
4,0.017841153012057284,71.88331875935755,538.8279,3.72136,34.95,88.13,144.79327450179505
5,0.039960419175998595,68.1959900601232,538.8279,3.72136,34.95,88.13,144.79327450179505
6,0.035197952477306955,60.824645487354445,538.8279,3.72136,34.95,88.13,144.79327450179505
7,0.07549208914079435,60.44765177359051,538.8279,3.72136,34.95,88.13,144.79327450179505
8,0.06782391743279877,51.69931897119121,538.8279,3.72136,34.95,88.13,144.79327450179505
9,0.0338348890392878,50.10992215579909,538.8279,3.72136,34.95,88.13,144.79327450179505
10,0.06953126607087871,47.6196927277802,538.8279,3.72136,34.95,88.13,144.79327450179505
11,0.014364622802770451,43.75937479317462,538.8279,3.72136,34.95,88.13,144.79327450179505
12,0.05348670289251504,41.45133848449951,538.8279,3.72136,34.95,88.13,144.79327450179505
13,0.08907053044634557,40.7539153015753,538.8279,3.72136,34.95,88.13,144.79327450179505
14,0.02754936336929004,38.029308612829226,538.8279,3.72136,34.95,88.13,144.79327450179505
15,0.07446537728145718,33.434145074021096,538.8279,3.72136,34.95,88.13,144.79327450179505
16,0.03816418302060416,32.61835640488698,538.8279,3.72136,34.95,88.13,144.79327450179505
17,0.08208546792408042,31.46488076911272,538.8279,3.72136,34.95,88.13,144.79327450179505
18,0.019237516109543436,30.834384930492714,538.8279,3.72136,34.95,88.13,144.79327450179505
19,0.06670226636300358,28.00161684502537,538.8279,3.72136,34.95,88.13,144.79327450179505
0,0.04367732646075879,115.81914777906809,538.8279,3.72136,34.95,88.13,144.79327450179505
1,0.029252811387267406,98.23495576189791,538.8279,3.72136,34.95,88.13,144.79327450179505
2,0.04194738574754486,94.15813785883505,538.8279,3.72136,34.95,88.13,144.79327450179505
3,0.09873346044869151,85.88682557260027,538.8279,3.72136,34.95,88.13,144.79327450179505
4,0.04767587964166679,71.88331875935755,538.8279,3.72136,34.95,88.13,144.79327450179505
5,0.034602963684182184,68.1959900601232,538.8279,3.72136,34.95,88.13,144.79327450179505
6,0.05009134549081285,60.824645487354445,538.8279,3.72136,34.95,88.13,144.79327450179505
7,0.03159965624583196,60.44765177359051,538.8279,3.72136,34.95,88.13,144.79327450179505
8,0.055211251342817576,51.69931897119121,538.8279,3.72136,34.95,88.13,144.79327450179505
9,0.034657510102080485,50.10992215579909,538.8279,3.72136,34.95,88.13,144.79327450179505
10,0.05519911108049732,47.6196927277802,538.8279,3.72136,34.95,88.13,144.79327450179505
